"","edad","educ","empleo","direccion","ingresos","deudaingr","deudacred","deudaotro","impago"
"1",41,"Superiores iniciados",17,12,176,9.3,11.359392,5.008608,"Sí"
"2",27,"No completó el bachillerato",10,6,31,17.3,1.362202,4.000798,"No"
"3",40,NA,NA,14,55,5.5,0.856075,2.168925,"No"
"4",NA,"No completó el bachillerato",15,14,120,2.9,2.65872,0.82128,"No"
"5",24,"Título de Bachiller",2,0,28,NA,1.787436,3.056564,"Sí"
"6",41,"Título de Bachiller",5,NA,25,10.2,0.3927,2.1573,"No"
"7",39,"No completó el bachillerato",NA,9,67,30.6,3.833874,16.668126,"No"
"8",43,"No completó el bachillerato",12,11,38,3.6,0.128592,1.239408,"No"
"9",24,"No completó el bachillerato",3,4,19,24.4,1.358348,NA,"Sí"
"10",36,"No completó el bachillerato",0,13,25,19.7,2.7777,2.1473,"No"
"11",27,NA,0,1,16,1.7,0.182512,0.089488,"No"
"12",NA,"No completó el bachillerato",NA,0,23,NA,0.252356,0.943644,"No"
"13",52,"No completó el bachillerato",24,14,64,10,3.9296,2.4704,"No"
"14",37,"No completó el bachillerato",6,9,29,16.3,1.715901,3.011099,"No"
"15",48,"No completó el bachillerato",NA,15,100,9.1,3.7037,NA,"No"
"16",36,"Título de Bachiller",9,6,49,8.6,0.817516,3.396484,"Sí"
"17",36,"Título de Bachiller",13,6,41,NA,2.918216,3.805784,"Sí"
"18",43,"No completó el bachillerato",23,19,72,NA,1.181952,4.290048,"No"
"19",39,NA,NA,9,61,5.7,0.563274,NA,"No"
"20",41,"Superiores iniciados",0,21,26,1.7,0.099008,0.342992,"No"
"21",39,"No completó el bachillerato",22,3,52,3.2,1.154816,0.509184,"No"
"22",47,"No completó el bachillerato",17,NA,NA,5.6,0.587552,1.820448,"No"
"23",28,"No completó el bachillerato",3,6,26,10,0.4316,NA,"No"
"24",29,"No completó el bachillerato",8,6,27,9.8,0.402192,2.243808,"No"
"25",21,NA,1,2,16,18,0.24192,2.63808,"Sí"
"26",25,"Título Superior",0,2,32,17.6,2.14016,3.49184,"No"
"27",45,"Título de Bachiller",9,26,69,6.7,0.707319,3.915681,"No"
"28",NA,NA,25,NA,64,NA,0.951232,9.736768,"No"
"29",33,"Título de Bachiller",12,NA,58,18.4,3.084208,7.587792,"No"
"30",26,"Superiores iniciados",2,1,37,14.2,0.204906,5.049094,"No"
"31",45,"No completó el bachillerato",NA,15,20,2.1,0.105,0.315,"No"
"32",30,"No completó el bachillerato",1,10,22,10.5,1.13883,1.17117,"No"
"33",NA,"Superiores iniciados",2,7,26,6,0.72228,0.83772,"No"
"34",25,"No completó el bachillerato",8,4,27,14.4,1.018656,2.869344,"No"
"35",25,"No completó el bachillerato",8,1,35,2.9,0.07714,0.93786,"No"
"36",26,"Título de Bachiller",6,7,45,26,NA,5.6511,"No"
"37",30,NA,10,4,NA,16.1,NA,2.132284,"No"
"38",32,"Título de Bachiller",12,1,NA,14.4,NA,4.580064,"No"
"39",28,"Título de Bachiller",1,NA,24,17.1,1.337904,2.766096,"Sí"
"40",NA,"No completó el bachillerato",23,5,50,4.2,0.5586,1.5414,"No"
"41",23,"No completó el bachillerato",7,2,31,6.6,0.33759,1.70841,"No"
"42",34,"No completó el bachillerato",17,3,59,NA,NA,2.91224,"No"
"43",42,"Título de Bachiller",7,23,41,4.6,0.941114,0.944886,"No"
"44",39,"No completó el bachillerato",19,NA,48,13.1,1.930416,4.357584,"No"
"45",26,"No completó el bachillerato",0,0,14,NA,0.3024,0.7476,"Sí"
"46",21,NA,0,NA,16,NA,0.150144,0.937856,"No"
"47",35,"No completó el bachillerato",13,15,35,4.5,0.43155,1.14345,"No"
"48",47,"No completó el bachillerato",4,2,NA,10.4,NA,2.58232,"No"
"49",23,"Título de Bachiller",0,2,21,11.4,0.775656,1.618344,"Sí"
"50",35,"No completó el bachillerato",18,2,42,7.4,0.205128,2.902872,"No"
"51",NA,"No completó el bachillerato",NA,11,25,12.6,NA,2.5767,"Sí"
"52",46,"No completó el bachillerato",1,12,20,NA,0.8092,1.9908,"No"
"53",46,"No completó el bachillerato",16,18,52,12.9,3.032016,3.675984,"Sí"
"54",38,"Superiores iniciados",3,18,25,3.7,0.311725,0.613275,"No"
"55",40,"Título de Bachiller",3,2,28,9.5,0.55328,NA,"No"
"56",37,"No completó el bachillerato",1,3,24,15.1,1.801128,1.822872,"Sí"
"57",35,"No completó el bachillerato",NA,1,34,5,0.3978,1.3022,"No"
"58",39,"Título de Bachiller",16,13,69,2.4,1.061496,0.594504,"No"
"59",NA,"Superiores iniciados",18,6,100,2.5,1.485,1.015,"No"
"60",NA,"Superiores iniciados",NA,20,80,12.2,2.47904,7.28096,"No"
"61",31,"No completó el bachillerato",9,10,28,2.4,0.047712,0.624288,"No"
"62",29,"No completó el bachillerato",13,1,42,7.4,1.457652,1.650348,"Sí"
"63",37,NA,4,0,23,12.4,0.86986,1.98214,"No"
"64",33,"Título de Bachiller",4,9,55,7,2.15985,1.69015,"No"
"65",26,"Título de Bachiller",5,7,28,7.8,1.024296,1.159704,"No"
"66",32,"Título de Bachiller",11,6,75,23.3,7.7589,9.7161,"Sí"
"67",28,NA,NA,3,23,6.4,0.186944,1.285056,"Sí"
"68",39,"No completó el bachillerato",19,8,46,9.1,2.515786,1.670214,"No"
"69",28,"Título de Bachiller",8,3,31,NA,NA,1.049846,"Sí"
"70",29,"No completó el bachillerato",1,2,20,18.6,0.56916,3.15084,"Sí"
"71",NA,"Título de Bachiller",3,8,21,23.1,1.401939,3.449061,"No"
"72",28,"Título de Bachiller",5,9,34,23.8,NA,4.992764,"No"
"73",47,"No completó el bachillerato",26,21,100,12.8,4.5824,8.2176,"No"
"74",43,"Título Superior",1,5,NA,NA,1.518556,1.237444,"No"
"75",41,"No completó el bachillerato",13,10,44,1.7,0.07106,0.67694,"No"
"76",47,"No completó el bachillerato",13,25,51,23.8,3.738504,8.399496,"No"
"77",24,"No completó el bachillerato",2,1,NA,0.6,0.025074,NA,"No"
"78",29,"No completó el bachillerato",1,9,17,6.7,0.157182,0.981818,"No"
"79",33,"No completó el bachillerato",14,2,37,2.6,0.199134,NA,"No"
"80",36,"No completó el bachillerato",15,10,39,3.2,0.6864,0.5616,"No"
"81",26,NA,4,3,27,10.5,2.47212,0.36288,"Sí"
"82",31,"No completó el bachillerato",NA,12,45,17,2.7387,NA,"No"
"83",37,"No completó el bachillerato",NA,3,32,19.6,2.69696,3.57504,"No"
"84",35,"Título Superior",4,16,29,11,1.84382,1.34618,"No"
"85",26,"No completó el bachillerato",4,3,NA,NA,0.3186,0.7614,"No"
"86",40,"No completó el bachillerato",10,15,45,18.8,2.01348,6.44652,"No"
"87",29,"Título de Bachiller",5,4,36,12.4,3.490848,0.973152,"Sí"
"88",NA,NA,NA,17,29,24.6,1.405398,5.728602,"No"
"89",32,"No completó el bachillerato",12,NA,NA,2.9,0.116116,0.695884,"No"
"90",23,"Título de Bachiller",0,1,17,27.7,2.043706,2.665294,"Sí"
"91",32,"No completó el bachillerato",3,10,23,6.2,0.052762,1.373238,"No"
"92",25,"No completó el bachillerato",1,NA,15,11.4,0.37107,1.33893,"Sí"
"93",38,"No completó el bachillerato",5,5,54,10.6,1.499688,4.224312,"No"
"94",NA,"Título de Bachiller",0,6,18,5.8,0.296496,0.747504,"Sí"
"95",41,"Superiores iniciados",NA,0,15,26.3,1.960665,1.984335,"Sí"
"96",36,NA,17,6,54,4.4,0.727056,1.648944,"No"
"97",42,"Superiores iniciados",13,0,82,NA,1.315116,1.390884,"No"
"98",41,"No completó el bachillerato",14,8,52,7.3,0.926224,2.869776,"No"
"99",29,"Título de Bachiller",NA,9,19,6.3,0.681093,0.515907,"No"
"100",38,"Superiores iniciados",4,6,31,9.3,1.331946,1.551054,"Sí"
"101",39,"No completó el bachillerato",22,9,113,2.6,0.987168,1.950832,"No"
"102",36,"No completó el bachillerato",6,9,26,8.3,0.030212,2.127788,"No"
"103",33,"No completó el bachillerato",8,7,27,5.8,0.776736,NA,"No"
"104",42,"Título de Bachiller",21,NA,121,3.1,1.365364,2.385636,"No"
"105",41,"Título de Bachiller",22,17,75,23.6,NA,7.8234,"No"
"106",40,"No completó el bachillerato",8,17,28,3.6,0.53424,0.47376,"No"
"107",53,"No completó el bachillerato",9,18,50,11.2,2.016,3.584,"Sí"
"108",28,"No completó el bachillerato",NA,7,26,13.5,NA,2.21481,"No"
"109",36,NA,12,13,60,7.9,1.72062,NA,"No"
"110",34,"Título de Bachiller",9,13,45,10.1,NA,3.42693,"No"
"111",45,"Superiores iniciados",2,5,39,4.9,0.45864,1.45236,"No"
"112",38,"No completó el bachillerato",NA,0,NA,8.9,0.266377,NA,"No"
"113",21,"Superiores iniciados",0,NA,24,7.7,0.833448,1.014552,"No"
"114",42,"No completó el bachillerato",12,11,51,21.4,NA,8.502006,"No"
"115",52,"No completó el bachillerato",16,25,64,8.6,1.865856,3.638144,"No"
"116",25,"Título de Bachiller",4,6,33,NA,0.552552,1.163448,"No"
"117",34,"Título de Bachiller",9,9,65,6.2,2.10769,1.92231,"No"
"118",40,"Título de Bachiller",15,16,73,3.4,1.032512,NA,"No"
"119",31,"Título de Bachiller",0,4,27,12.8,1.08864,2.36736,"Sí"
"120",25,"No completó el bachillerato",1,0,20,6.7,0.47168,0.86832,"Sí"
"121",45,"No completó el bachillerato",12,19,37,9.5,NA,2.17227,"No"
"122",23,"No completó el bachillerato",3,0,19,8.4,0.2793,1.3167,"Sí"
"123",34,NA,6,3,27,35.3,1.982448,7.548552,"Sí"
"124",31,"No completó el bachillerato",2,4,22,12.7,1.092454,1.701546,"Sí"
"125",28,"No completó el bachillerato",5,9,22,2.8,0.140448,0.475552,"No"
"126",NA,NA,7,11,43,4.4,NA,1.197636,"No"
"127",39,"Título de Bachiller",NA,2,68,13,1.0166,7.8234,"Sí"
"128",29,"Título de Bachiller",9,3,NA,1.4,0.127008,0.376992,"No"
"129",21,"No completó el bachillerato",5,1,25,9,0.36675,1.88325,"No"
"130",41,"Título de Bachiller",19,2,NA,5.8,1.506608,2.437392,"No"
"131",26,"Título Superior",NA,7,27,2.9,0.311634,0.471366,"No"
"132",NA,"No completó el bachillerato",5,10,18,12.9,0.984528,1.337472,"No"
"133",45,NA,NA,19,35,17.4,0.5481,5.5419,"No"
"134",39,"No completó el bachillerato",17,20,60,13.7,2.44956,5.77044,"No"
"135",24,"No completó el bachillerato",7,NA,21,6.3,0.519939,0.803061,"No"
"136",29,"Título de Bachiller",6,7,57,2.2,0.452694,0.801306,"No"
"137",27,"Título de Bachiller",1,0,23,12.4,0.2852,2.5668,"No"
"138",40,"No completó el bachillerato",NA,2,28,5.9,NA,0.687232,"No"
"139",29,"No completó el bachillerato",8,10,24,6.7,0.469536,1.138464,"No"
"140",29,"Título de Bachiller",4,NA,37,6.6,1.15995,1.28205,"Sí"
"141",24,"No completó el bachillerato",0,NA,16,16,1.00864,1.55136,"Sí"
"142",27,"No completó el bachillerato",9,6,45,17.8,NA,5.15844,"Sí"
"143",41,"Superiores iniciados",16,22,135,4.4,1.2771,4.6629,"No"
"144",31,NA,11,8,25,NA,0.14105,2.13395,"No"
"145",41,"No completó el bachillerato",NA,17,68,5.4,0.447984,3.224016,"No"
"146",42,"Título de Bachiller",5,3,41,3.4,0.35547,1.03853,"No"
"147",28,"Título Superior",1,3,26,12.4,0.377208,2.846792,"No"
"148",30,"Título Superior",2,NA,25,10,NA,0.73,"No"
"149",30,"No completó el bachillerato",11,1,NA,8.4,0.681912,2.090088,"No"
"150",31,"No completó el bachillerato",8,4,44,8,1.72128,1.79872,"No"
"151",45,"Título de Bachiller",15,14,51,18.1,NA,7.680192,"No"
"152",43,"No completó el bachillerato",NA,23,76,6.1,2.151104,2.484896,"Sí"
"153",36,"No completó el bachillerato",4,10,23,16.3,1.327146,2.421854,"No"
"154",28,"No completó el bachillerato",8,6,30,7.2,0.61344,1.54656,"No"
"155",27,"Título de Bachiller",3,5,33,13.2,NA,2.7225,"No"
"156",36,"Superiores iniciados",13,3,39,19.2,2.800512,4.687488,"No"
"157",NA,"No completó el bachillerato",12,11,32,NA,2.104512,1.511488,"No"
"158",54,"No completó el bachillerato",9,2,28,14.8,1.558144,2.585856,"Sí"
"159",33,"No completó el bachillerato",9,4,29,NA,1.348674,2.653326,"Sí"
"160",31,"No completó el bachillerato",9,5,NA,4.5,0.31005,0.85995,"No"
"161",21,"No completó el bachillerato",4,0,26,8.9,1.420796,0.893204,"No"
"162",28,"Superiores iniciados",5,9,44,8.7,0.773256,3.054744,"No"
"163",31,"Título de Bachiller",2,1,26,6.8,NA,1.48512,"Sí"
"164",NA,"No completó el bachillerato",8,6,26,4.1,0.326196,0.739804,"No"
"165",35,"Título de Bachiller",1,8,24,12.5,0.591,2.409,"Sí"
"166",40,"Título de Bachiller",13,11,102,18.9,6.226794,13.051206,"Sí"
"167",22,"No completó el bachillerato",4,2,24,15.6,1.636128,NA,"Sí"
"168",39,"No completó el bachillerato",4,9,38,6.5,1.17819,1.29181,"No"
"169",41,"Título Superior",14,3,44,1.7,0.353056,0.394944,"No"
"170",NA,"No completó el bachillerato",16,NA,79,4,1.73484,1.42516,"No"
"171",29,"No completó el bachillerato",7,9,22,9.7,0.550572,1.583428,"No"
"172",31,"No completó el bachillerato",4,NA,28,11.3,0.291088,2.872912,"No"
"173",NA,"No completó el bachillerato",1,0,20,4.8,0.31488,0.64512,"Sí"
"174",32,"No completó el bachillerato",14,7,73,8.8,NA,NA,"No"
"175",33,"No completó el bachillerato",6,14,21,7.5,NA,1.008,"No"
"176",26,"No completó el bachillerato",6,0,22,10.3,0.720588,1.545412,"No"
"177",21,"No completó el bachillerato",1,1,18,17.3,0.158814,2.955186,"No"
"178",28,"Título de Bachiller",NA,2,34,NA,0.35938,2.02062,"No"
"179",37,"No completó el bachillerato",13,5,24,8.9,0.602352,1.533648,"No"
"180",33,"Título de Bachiller",2,14,35,22.9,2.123975,5.891025,"Sí"
"181",39,"No completó el bachillerato",12,NA,46,5,0.5612,1.7388,"No"
"182",40,NA,8,19,57,5.6,0.8778,2.3142,"No"
"183",45,"Superiores iniciados",16,21,80,3,0.912,1.488,"No"
"184",27,"No completó el bachillerato",10,NA,NA,6.5,0.85085,NA,"No"
"185",28,"Título Superior",0,7,29,24.2,1.424654,5.593346,"No"
"186",39,"No completó el bachillerato",13,9,27,8,0.96552,1.19448,"No"
"187",40,"No completó el bachillerato",14,21,NA,15,NA,3.65715,"Sí"
"188",27,"No completó el bachillerato",11,8,56,NA,NA,NA,"No"
"189",36,"No completó el bachillerato",1,4,16,9.3,0.433008,1.054992,"No"
"190",55,"No completó el bachillerato",19,2,78,15.6,4.404816,7.763184,"No"
"191",27,"Título de Bachiller",4,3,22,13.2,NA,1.817904,"Sí"
"192",30,"No completó el bachillerato",1,8,17,11,0.74613,1.12387,"No"
"193",36,"No completó el bachillerato",10,0,28,11.2,0.81536,2.32064,"Sí"
"194",NA,"No completó el bachillerato",1,6,21,2.5,0.2772,0.2478,"Sí"
"195",33,"Título de Bachiller",NA,2,40,7.2,0.18144,NA,"No"
"196",30,"No completó el bachillerato",4,0,33,4.2,0.500346,0.885654,"No"
"197",24,"No completó el bachillerato",1,0,18,5.9,0.23895,0.82305,"Sí"
"198",33,"Título Superior",9,10,28,4.3,0.376852,0.827148,"No"
"199",50,"No completó el bachillerato",8,NA,47,6.9,0.398889,2.844111,"No"
"200",31,"Título de Bachiller",6,6,NA,NA,3.341184,4.050816,"Sí"
"201",NA,"No completó el bachillerato",3,7,19,4.1,0.260965,0.518035,"No"
"202",44,"Superiores iniciados",8,10,88,6.1,NA,5.083496,"Sí"
"203",48,"Título Superior",3,23,45,9.8,0.97461,3.43539,"No"
"204",36,"Título de Bachiller",0,17,30,9.7,0.32883,NA,"No"
"205",29,"Superiores iniciados",NA,1,63,5.5,0.571725,2.893275,"No"
"206",40,"Superiores iniciados",17,11,116,6,2.56128,4.39872,"No"
"207",33,NA,7,NA,26,NA,0.54288,1.01712,"No"
"208",26,"Título de Bachiller",6,6,30,1,0.1437,0.1563,"No"
"209",36,"No completó el bachillerato",14,11,81,7.2,1.784592,4.047408,"No"
"210",26,NA,6,NA,NA,1.9,0.085785,0.579215,"No"
"211",40,"Superiores iniciados",16,6,116,12.1,1.61414,12.42186,"No"
"212",NA,NA,NA,3,48,9,1.96992,2.35008,"Sí"
"213",29,"Superiores iniciados",1,10,30,4.5,0.27945,1.07055,"No"
"214",35,"Superiores iniciados",5,3,37,5.4,0.581418,1.416582,"Sí"
"215",34,"No completó el bachillerato",16,3,75,10.4,3.9546,3.8454,"No"
"216",NA,"Superiores iniciados",12,8,47,NA,1.300537,1.848463,"No"
"217",46,"No completó el bachillerato",14,25,35,10.2,1.34946,2.22054,"No"
"218",41,"Título de Bachiller",21,22,145,12.2,3.23727,NA,"No"
"219",27,"Título de Bachiller",7,8,30,4,0.4476,0.7524,"Sí"
"220",27,"Título Superior",0,6,70,8,1.6184,3.9816,"Sí"
"221",28,"No completó el bachillerato",11,6,24,2.4,0.107136,0.468864,"No"
"222",48,"Superiores iniciados",0,27,19,10.8,0.849528,1.202472,"No"
"223",48,NA,NA,NA,113,12,3.37644,10.18356,"No"
"224",29,"Superiores iniciados",5,6,70,19.9,3.17604,10.75396,"Sí"
"225",43,"Título de Bachiller",9,5,NA,20.4,4.0392,NA,"Sí"
"226",23,"No completó el bachillerato",5,2,17,7.9,0.302175,1.040825,"No"
"227",29,"Título de Bachiller",NA,8,44,18.1,3.70326,NA,"No"
"228",40,"Título Superior",5,6,75,1.9,0.884925,NA,"No"
"229",NA,"Título de Bachiller",0,3,20,5.6,0.2072,0.9128,"No"
"230",23,NA,7,3,22,14.4,0.849024,2.318976,"No"
"231",46,"Superiores iniciados",9,10,60,15.3,1.6065,7.5735,"No"
"232",55,"No completó el bachillerato",NA,11,40,NA,0.5632,2.6368,"Sí"
"233",38,"Título de Bachiller",8,16,38,0.6,0.029412,0.198588,"No"
"234",35,"Título de Bachiller",5,1,33,NA,NA,0.820512,"No"
"235",30,"No completó el bachillerato",11,9,27,0.9,0.073872,0.169128,"No"
